Last_Name_Match,First_Name_Match,DCPS_Student_ID_Match,Birthdate_Match,Match_Type,School_Number,School_Name,Grade_Level,Race_Desc,Gender_Code,FRL,Cumulative_GPA,Days_Enrolled,Days_Absent,Referrals,ISSP,OSSP,iReady_Math_BY,iReady_Math_MY,iReady_MAth_EY,iReady_ELA_BY,iReady_ELA_MY,iReady_ELA_EY,Achieve_BY,Achieve_MY,Achieve_EY,Math_Course_1,Math_Grade_1,Math_Course_2,Math_Grade_2,Math_Course_3,Math_Grade_3,Math_Course_4,Math_Grade_4,English_Course_1,English_Grade_1,English_Course_2,English_Grade_2,English_Course_3,English_Grade_3,English_Course_4,English_Grade_4,Science_Course_1,Science_Grade_1,Science_Course_2,Science_Grade_2,Science_Course_3,Science_Grade_3,AFL,After_School,AmeriCorps,BTS,Gear_Up,SEP
Adair,Dontravious,10000013,11/18/1888,ID,0291,THE BRIDGE,12,Black,M,Yes,1.47,48,17,0,0,0,,,,,,,Below,Below,,ALG 1,F,MATH COLL READINESS,F,,,,,ENG 4 FL COLL PREP,D,INTENS READ,D,,,,,ENV SCI,C,MARINE SCI 1,A,,,No,No,No,Yes,No,No
Adams,Amiya,10000014,04/07/2111,ID,0741,LAKE FOREST ELEMENTARY SCHOOL,01,Black,F,No,,48,3,0,0,0,Below,Below,Early,Below,Early,Late,,,,MATH GRADE 1,E,,,,,,,LANG ARTS GRADE 1,E,,,,,,,,,,,,,No,Yes,No,No,No,No
Adams,Ashley hope,10000015,07/27/2112,ID,2051,PICKETT ELEMENTARY SCHOOL,KG,White,F,No,,4,4,0,0,0,Below,Below,,Below,Below,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,No
Adams,Dana,10000016,01/25/2112,ID,1651,WILLIAM M RAINES HIGH SCHOOL,10,Black,F,No,3.10,48,0,0,0,0,,,,,,,App Read,App Read,App Read,GEO,B,INTENS MATH,B,,,,,ENG HON 2,D,,,,,,,BIO 1,A,,,,,No,No,No,No,No,Yes
Adams,David,10000017,08/04/2114,ID,2191,JOSEPH STILWELL MIDDLE SCHOOL,08,Black,M,No,,48,1,0,0,0,Below,Below,Below,,,,App Read,App Read,App Read,MJ GRADE 8 PRE-ALG,C,,,,,,,MJ INTENS READ (MC),D,MJ LANG ARTS 3,C,,,,,MJ COMPRE SCI 3,C,,,,,Yes,No,No,No,No,No
Adams,Dejah,10000018,11/22/2115,ID,0691,LAKE SHORE MIDDLE SCHOOL,06,Black,F,No,,48,5,1,0,0,Early,Mid,Early,,,,,App Read,App Read,MJ GRADE 6 MATH ADV,C,,,,,,,MJ LANG ARTS 1 ADV,F,,,,,,,MJ COMPRE SCI 1 ADV,C,,,,,No,Yes,No,No,No,No
Adams,Dillan,10000019,08/02/2113,ID,2191,JOSEPH STILWELL MIDDLE SCHOOL,08,White,M,No,,48,2,0,0,0,Below,Below,Below,,,,App Read,App Read,App Read,MJ GRADE 8 PRE-ALG,C,,,,,,,MJ INTENS READ (MC),D,MJ LANG ARTS 3,C,,,,,MJ COMPRE SCI 3,C,,,,,No,Yes,No,No,No,No
Adams,Dshawn,10000020,04/04/2116,ID,2131,ARLINGTON MIDDLE SCHOOL,06,Black,M,No,,48,12,14,6,4,Below,Below,Early,,,,Below,Below,Below,MJ GRADE 6 MATH,D,,,,,,,MJ INTENS READ (MC),F,MJ LANG ARTS 1,F,,,,,MJ COMPRE SCI 1,B,,,,,Yes,Yes,No,No,No,No
Adams,Jaeveon,10000021,04/03/2118,ID,0931,PINEDALE ELEMENTARY SCHOOL,03,Black,M,Yes,,48,7,0,0,0,Below,Below,Below,Below,Below,Below,Below,Below,Below,MATH GRADE 3,C,,,,,,,LANG ARTS GRADE 3,C,,,,,,,SCIENCE GRADE 3,B,,,,,No,Yes,No,No,No,No
Adams,Jaylen,10000022,12/03/2112,ID,0691,LAKE SHORE MIDDLE SCHOOL,08,Black,M,No,,48,0,0,0,0,Below,Below,Below,,,,Below,Below,Below,MJ GRADE 8 PRE-ALG,B,,,,,,,MJ INTENS READ (MC),B,MJ LANG ARTS 3,C,,,,,MJ COMPRE SCI 3,C,,,,,No,Yes,No,No,No,No
Adams,Jermel,10000023,12/23/2111,ID,2131,ARLINGTON MIDDLE SCHOOL,08,Black,M,No,,48,14,0,0,0,Below,Below,Below,,,,,Below,Below,ACC MJ GR8 PRE-ALG,C,,,,,,,ACCESS MJ LA 3,C,MJ INTENS READ (MC),C,,,,,ACCESS MJ COMPSCI 3,C,,,,,No,Yes,No,No,No,No
Adams,Jimmy,10000024,05/08/2113,ID,0691,LAKE SHORE MIDDLE SCHOOL,07,Black,M,No,,48,11,6,1,2,Below,,Below,,,,,App Read,App Read,MJ GRADE 8 PRE-ALG,F,,,,,,,MJ INTENS READ (MC),F,MJ LANG ARTS 3,C,,,,,MJ COMPRE SCI 3,C,,,,,No,Yes,No,No,No,No
ADAMS,KAMERON,10000025,08/05/2113,ID,0691,LAKE SHORE MIDDLE SCHOOL,08,Black,M,No,,48,6,0,0,0,Below,Below,Below,,,,App Read,App Read,App Read,MJ GRADE 8 PRE-ALG,C,,,,,,,MJ INTENS READ (MC),A,MJ LANG ARTS 3,A,,,,,MJ COMPRE SCI 3,B,,,,,No,Yes,No,No,No,No
Adams,Rylee,10000026,11/16/2115,ID,2191,JOSEPH STILWELL MIDDLE SCHOOL,06,White,F,No,,48,2,0,0,0,Below,Early,Early,,,,App Read,App Read,App Read,MJ GRADE 6 MATH,B,,,,,,,MJ LANG ARTS 1 ADV,C,,,,,,,MJ COMPRE SCI 1,B,,,,,Yes,Yes,No,No,No,No
Adams,Samuel,10000027,02/15/2115,ID,2072,J E B STUART MIDDLE SCHOOL,07,Black,M,No,,48,1,0,0,0,Below,Below,Below,,,,App Read,App Read,App Read,MJ GRADE 7 MATH,A,,,,,,,MJ LANG ARTS 2,C,,,,,,,MJ COMPRE SCI 2,C,,,,,Yes,No,No,No,No,No
Adams,Shaun,10000028,07/15/2116,ID,2191,JOSEPH STILWELL MIDDLE SCHOOL,06,Hispanic,M,No,,48,0,2,0,0,,,Early,,,,,,App Read,MJ GRADE 6 MATH,C,,,,,,,MJ INTENS READ (MC),C,MJ LANG ARTS 1,D,,,,,MJ COMPRE SCI 1,C,,,,,No,Yes,No,No,No,No
Adams,Van,10000029,07/02/2114,ID,2441,HIGHLANDS MIDDLE SCHOOL,08,Black,M,No,,48,7,0,0,0,Below,Below,Below,,,,App Read,App Read,App Read,MJ GRADE 8 PRE-ALG,C,,,,,,,MJ INTENS READ (MC),B,MJ LANG ARTS 3,C,,,,,MJ COMPRE SCI 3,F,,,,,No,Yes,No,No,No,No
Adams,William,10000030,08/28/2113,ID,2541,MAYPORT MIDDLE SCHOOL,08,White,M,No,,48,1,0,0,0,,,,,,,Exceeds,Exceeds,Exceeds,ALG 1 HON,F,,,,,,,MJ LANG ARTS 3 ADV,D,,,,,,,BIO 1 HON,A,,,,,No,Yes,No,No,No,No
Adams,Yasandra,10000031,04/12/2114,ID,2441,HIGHLANDS MIDDLE SCHOOL,08,Multi,F,No,,48,0,1,0,0,,,,,,,App Read,App Read,Meets,ALG 1 HON,A,,,,,,,MJ LANG ARTS 3 ADV,B,,,,,,,MJ COMPRE SCI 3,A,,,,,No,Yes,No,No,No,No
Addison,Giovanni,10000032,07/04/2115,ID,0291,THE BRIDGE,05,Black,M,No,,48,7,3,0,1,Below,,,Below,Below,,Below,Below,Below,MJ GRADE 6 MATH,C,,,,,,,MJ LANG ARTS 1,D,,,,,,,MJ COMPRE SCI 1,C,,,,,No,No,No,Yes,No,No
Addison,Joseph,10000033,12/18/2111,ID,0141,GRAND PARK CAREER CENTER,10,Black,M,No,1.48,48,8,1,0,1,,,,,,,Below,Below,Below,ALG 1-B,D,,,,,,,,,,,,,,,ENV SCI,C,PHY SCI,D,,,No,No,No,No,No,Yes
Addison,Lawrence,10000034,11/24/2113,ID,2161,JEFFERSON DAVIS MIDDLE SCHOOL,08,Black,M,No,,48,5,1,0,1,Below,Below,Below,,,,Below,App Read,App Read,MJ GRADE 8 PRE-ALG,C,,,,,,,MJ LANG ARTS 3,B,,,,,,,MJ COMPRE SCI 3,D,,,,,No,Yes,No,No,No,No
Adkins,Chloe,10000035,04/28/2115,ID,2541,MAYPORT MIDDLE SCHOOL,07,White,F,No,,48,3,0,0,0,Early,Early,Mid,,,,Exceeds,Exceeds,Exceeds,MJ GRADE 8 PRE-ALG,A,,,,,,,MJ LANG ARTS 2 ADV,A,,,,,,,MJ COMPRE SCI 2 ADV,A,,,,,No,Yes,No,No,No,No
Adside,Isaiah,10000036,08/21/2111,ID,0291,THE BRIDGE,08,Black,M,No,,48,2,0,0,0,Below,,Below,,,,Below,Below,Below,MJ GRADE 8 PRE-ALG,B,,,,,,,MJ INTENS READ (MC),B,MJ LANG ARTS 3,C,,,,,MJ COMPRE SCI 3,C,,,,,No,No,No,Yes,No,No
Adside,Kevin,10000037,11/18/2116,ID,0741,LAKE FOREST ELEMENTARY SCHOOL,05,Black,M,No,,48,0,0,0,0,Below,Mid,Mid,Below,Below,Below,,App Read,App Read,MATH GRADE 5,A,,,,,,,LANG ARTS GRADE 5,B,,,,,,,SCIENCE GRADE 5,B,,,,,No,Yes,No,No,No,Yes
Afeworki,Filmawit,10000038,06/28/2115,ID,0661,ALFRED I DUPONT MIDDLE SCHOOL,07,Black,F,No,,48,4,0,0,0,Below,Below,Below,,,,Below,Below,Below,MJ GRADE 7 MATH,D,,,,,,,MJ DE LA ESOL-READ,A,MJ LANG ARTS 2 ESOL,A,,,,,MJ COMPRE SCI 2,C,,,,,No,No,No,No,Yes,No
Aiken,Craig,10000039,07/18/2111,ID,0351,ANDREW JACKSON HIGH SCHOOL,12,Black,M,Yes,3.02,48,1,0,0,0,,,,,,,Below,Below,Below,ALG 2,B,,,,,,,ENG HON 4,B,,,,,,,,,,,,,No,No,No,No,No,Yes
Akins,Travaris,10000040,01/18/2116,ID,2131,ARLINGTON MIDDLE SCHOOL,06,Black,M,No,,48,10,3,0,1,Below,,Below,,,,App Read,App Read,App Read,MJ GRADE 6 MATH,A,,,,,,,MJ LANG ARTS 1,D,,,,,,,MJ COMPRE SCI 1,B,,,,,Yes,Yes,No,No,No,No
Akins,Travis,10000041,02/28/2114,ID,2131,ARLINGTON MIDDLE SCHOOL,08,Black,M,No,,48,8,0,0,0,Below,Below,,,,,,App Read,App Read,MJ GRADE 8 PRE-ALG,F,,,,,,,MJ INTENS READ (MC),B,MJ LANG ARTS 3,B,,,,,MJ COMPRE SCI 3,D,,,,,No,Yes,No,No,No,Yes
Albertie,Jara'miah,10000042,02/08/2116,ID,2161,JEFFERSON DAVIS MIDDLE SCHOOL,06,Black,M,No,,48,4,1,1,0,Early,Below,Below,,,,App Read,App Read,App Read,MJ GRADE 6 MATH ADV,B,,,,,,,MJ LANG ARTS 1 ADV,C,,,,,,,MJ COMPRE SCI 1 ADV,B,,,,,Yes,No,No,No,No,No
Albertie,Na'shawn,10000043,11/31/2116,ID,1061,LONG BRANCH ELEMENTARY SCHOOL,05,Black,M,No,,48,3,0,0,0,Late,Below,Below,Below,Below,Early,,App Read,App Read,MATH GRADE 5,A,,,,,,,LANG ARTS GRADE 5,C,,,,,,,SCIENCE GRADE 5,C,,,,,No,Yes,No,No,No,No
Albertie,Neiko,10000044,04/11/2111,ID,1691,S A HULL ELEMENTARY SCHOOL,01,Black,M,No,,48,8,0,0,0,Below,Below,Below,Below,Below,Below,,,,MATH GRADE 1,S,,,,,,,LANG ARTS GRADE 1,S,,,,,,,,,,,,,No,Yes,No,No,No,No
Albury,Martinique,10000045,01/04/2116,ID,2441,HIGHLANDS MIDDLE SCHOOL,06,Black,F,No,,48,3,0,0,0,Below,Below,Below,,,,App Read,App Read,App Read,MJ GRADE 6 MATH,D,,,,,,,MJ LANG ARTS 1 ADV,A,,,,,,,MJ COMPRE SCI 1 ADV,A,,,,,No,Yes,No,No,No,No
Alcala,Manuella,10000046,01/06/2111,Name & Bday,,,,,,,,,,,,,,,,,,,Below,Below,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,Yes,No,No
Alcantara-Lopez,Jose,10000047,11/28/2115,ID,2131,ARLINGTON MIDDLE SCHOOL,06,Hispanic,M,No,,48,2,0,0,0,Below,Below,Below,,,,Below,Below,App Read,MJ GRADE 6 MATH,B,,,,,,,MJ INTENS READ (MC),C,MJ LANG ARTS 1,B,,,,,MJ COMPRE SCI 1,A,,,,,Yes,No,No,No,No,No
Alcide,Mikayla,10000048,12/07/2118,ID,0741,LAKE FOREST ELEMENTARY SCHOOL,03,Black,F,No,,48,5,0,0,0,Early,Mid,Mid,Late,Late,Late,Meets,Meets,Meets,MATH GRADE 3,A,,,,,,,LANG ARTS GRADE 3,A,,,,,,,SCIENCE GRADE 3,A,,,,,No,Yes,No,No,No,No
Aldaco,Maria,10000049,08/11/2114,ID,2111,SOUTHSIDE MIDDLE SCHOOL,07,Hispanic,F,No,,48,7,0,0,0,Below,Below,Below,,,,App Read,Below,App Read,MJ GRADE 7 MATH,B,,,,,,,MJ INTENS READ (MC),C,MJ JOURN 1,C,MJ LANG ARTS 2,C,,,MJ COMPRE SCI 2,B,,,,,No,No,No,No,Yes,No
Aldaco,Saul,10000050,11/13/2117,ID,0701,NORTH SHORE ELEMENTARY,03,Hispanic,M,No,,48,5,0,0,0,Below,Below,Mid,Below,Late,Early,Below,App Read,Meets,MATH GRADE 3,A,,,,,,,LANG ARTS GRADE 3,B,,,,,,,SCIENCE GRADE 3,A,,,,,No,Yes,No,No,No,No
Aldridge,Calyria,10000051,02/15/2115,ID,2541,MAYPORT MIDDLE SCHOOL,07,Black,F,No,,48,2,1,0,0,Below,Below,Below,,,,App Read,App Read,App Read,MJ GRADE 7 MATH,A,,,,,,,MJ LANG ARTS 2,B,,,,,,,MJ COMPRE SCI 2,A,,,,,No,Yes,No,No,No,No
Alexander,Angel,10000052,03/27/2114,ID,2161,JEFFERSON DAVIS MIDDLE SCHOOL,08,Black,F,No,,48,0,1,0,0,Below,Below,Below,,,,App Read,App Read,App Read,MJ GRADE 8 PRE-ALG,A,,,,,,,MJ LANG ARTS 3,B,,,,,,,MJ COMPRE SCI 3,B,,,,,Yes,No,No,No,No,No
Alexander,Au'zaya,10000053,11/04/2114,ID,2121,JEAN RIBAULT MIDDLE SCHOOL,07,Black,F,No,,48,9,0,0,0,,,,,,,App Read,App Read,App Read,ALG 1 HON,B,,,,,,,MJ LANG ARTS 2 ADV,B,,,,,,,MJ COMPRE SCI 2 ADV,B,,,,,No,Yes,No,No,Yes,No
Alexander,Bryce,10000054,04/11/2111,ID,0861,TERRY PARKER HIGH SCHOOL,12,Multi,M,Yes,2.88,48,9,0,0,0,,,,,,,App Read,Meets,Meets,FINANCIAL ALGEBRA,C,,,,,,,ENG 4 FL COLL PREP,B,,,,,,,,,,,,,No,No,No,No,No,Yes
Alexander,Christyana,10000055,01/31/2117,ID,0291,THE BRIDGE,05,Black,F,No,,48,7,1,0,0,Early,,Early,Below,,Below,Below,App Read,Below,MATH GRADE 5,B,,,,,,,LANG ARTS GRADE 5,B,,,,,,,SCIENCE GRADE 5,C,,,,,No,No,No,Yes,No,No
Alexander,Demetrius,10000056,05/27/2111,ID,0291,THE BRIDGE,10,Black,M,No,1.47,48,18,0,0,0,,,,,,,Below,Below,Below,ALG 2,F,GEO,F,MATH COLL READINESS,F,,,ENG 3,D,ENG 4 FL COLL PREP,D,INTENS READ,F,,,BIO 1,C,,,,,No,No,No,Yes,No,No
Alexander,Ernest,10000057,04/28/2111,ID,1661,CARTER G WOODSON ELEM SCHOOL,02,Black,M,No,,48,3,0,0,0,Below,Below,Early,Below,Below,Early,,,,MATH GRADE 2,B,,,,,,,LANG ARTS GRADE 2,B,,,,,,,SCIENCE GRADE 2,S,,,,,No,Yes,No,No,No,No
Alexander,Jahzara,10000058,07/01/2115,ID,1561,YWLAYMLA,07,Black,F,No,,48,0,0,0,0,Below,Below,Below,,,,App Read,App Read,App Read,MJ GRADE 7 MATH,B,,,,,,,MJ INTENS READ (MC),B,MJ LANG ARTS 2,A,,,,,MJ COMPRE SCI 2 ADV,A,,,,,Yes,No,No,No,No,No
Alexander,Latika,10000059,08/25/2113,ID,0691,LAKE SHORE MIDDLE SCHOOL,07,Black,F,No,,48,0,5,1,0,Below,,Below,,,,Below,Below,Below,MJ GRADE 7 MATH,A,,,,,,,MJ INTENS READ (MC),B,MJ LANG ARTS 2,B,,,,,MJ COMPRE SCI 2,C,,,,,No,Yes,No,No,No,No
Alexander,Mariah,10000060,05/25/2111,ID,1661,CARTER G WOODSON ELEM SCHOOL,01,Black,F,No,,48,3,0,0,0,Below,Below,Below,Below,Below,Below,,,,MATH GRADE 1,S,,,,,,,LANG ARTS GRADE 1,S,,,,,,,,,,,,,No,Yes,No,No,No,No
Alexander,Ra'nyya,10000061,01/21/2118,ID,0891,WOODLAND ACRES ELEMENTARY SCHL,04,Black,F,No,,48,2,0,0,0,Early,Early,Mid,Below,Below,Below,Below,App Read,App Read,MATH GRADE 4,A,,,,,,,LANG ARTS GRADE 4,A,,,,,,,SCIENCE GRADE 4,A,,,,,No,Yes,Yes,No,No,No
Alexander,Stefan,10000062,11/27/2115,ID,2191,JOSEPH STILWELL MIDDLE SCHOOL,06,Black,M,No,,48,0,0,0,0,Mid,Mid,Mid,,,,Meets,Meets,Exceeds,MJ GRADE 6 MATH ADV,C,,,,,,,MJ LANG ARTS 1 ADV,D,,,,,,,MJ COMPRE SCI 1 ADV,C,,,,,No,Yes,No,No,No,No
Alexander,Timothy,10000063,02/21/2115,ID,2441,HIGHLANDS MIDDLE SCHOOL,07,Black,M,No,,48,1,0,0,0,Below,Below,Below,,,,App Read,App Read,App Read,MJ GRADE 7 MATH,C,,,,,,,MJ INTENS READ (MC),B,MJ LANG ARTS 2 ADV,B,,,,,MJ COMPRE SCI 2,C,,,,,Yes,Yes,No,No,No,No
Alexander,Za'ryia,10000064,07/16/2118,ID,1661,CARTER G WOODSON ELEM SCHOOL,03,Black,F,No,,48,3,0,0,0,Below,Below,Below,Below,Below,Below,Below,Below,Below,MATH GRADE 3,C,,,,,,,LANG ARTS GRADE 3,D,,,,,,,SCIENCE GRADE 3,B,,,,,No,Yes,No,No,No,No
Algburi,Sarah,10000065,08/28/2118,ID,0891,WOODLAND ACRES ELEMENTARY SCHL,04,White,F,No,,48,0,0,0,0,Below,Early,Mid,Below,Below,Below,App Read,App Read,App Read,MATH GRADE 4,A,,,,,,,LANG ARTS GRADE 4,A,,,,,,,SCIENCE GRADE 4,A,,,,,No,No,Yes,No,No,No
Alhasoun,Hashim,10000066,06/12/2115,ID,2161,JEFFERSON DAVIS MIDDLE SCHOOL,06,White,M,No,,48,5,0,0,0,Below,Mid,Early,,,,App Read,App Read,App Read,MJ GRADE 6 MATH ADV,A,,,,,,,MJ LANG ARTS 1 ADV,A,,,,,,,MJ COMPRE SCI 1 ADV,A,,,,,No,Yes,No,No,No,No
Alhasoun,Wisam,10000067,08/18/2116,ID,0291,THE BRIDGE,05,White,M,No,,48,2,0,0,0,Early,Mid,Mid,Below,,Early,App Read,App Read,App Read,MATH GRADE 5,B,,,,,,,LANG ARTS GRADE 5,B,,,,,,,SCIENCE GRADE 5,A,,,,,No,No,No,Yes,No,No
Alicea-Mendez,Nahum,10000068,06/07/2114,ID,2131,ARLINGTON MIDDLE SCHOOL,08,Hispanic,M,No,,48,6,0,0,0,Below,Below,Below,,,,Below,Below,Below,ACC MJ GR8 PRE-ALG,B,,,,,,,ACCESS MJ LA 3,A,MJ DE LA ESOL-READ,A,,,,,ACCESS MJ COMPSCI 3,C,,,,,No,No,No,No,No,Yes
Aljaber,Jouni,10000069,04/06/2114,ID,2131,ARLINGTON MIDDLE SCHOOL,08,White,M,No,,48,4,0,0,0,Below,Below,Below,,,,Below,Below,Below,MJ GRADE 8 PRE-ALG,D,,,,,,,MJ DE LA ESOL-READ,C,MJ LANG ARTS 3 ESOL,B,,,,,MJ COMPRE SCI 3,A,,,,,No,Yes,No,No,No,No
Allen,Aidan,10000070,08/14/2116,ID,1561,YWLAYMLA,06,Black,M,No,,48,2,1,0,0,Below,Below,Below,,,,App Read,App Read,App Read,MJ GRADE 6 MATH,A,,,,,,,MJ INTENS READ (MC),B,MJ LANG ARTS 1,B,,,,,MJ COMPRE SCI 1 ADV,A,,,,,Yes,No,No,No,No,No
Allen,Alayna,10000071,06/02/2117,ID,1611,BARTRAM SPRINGS ELEMENTARY,04,Black,F,No,,48,0,0,0,0,Below,,Below,Below,,Below,App Read,App Read,App Read,MATH GRADE 4,C,,,,,,,LANG ARTS GRADE 4,C,,,,,,,SCIENCE GRADE 4,B,,,,,No,No,Yes,No,No,No
Allen,Alexxus,10000072,12/01/2111,ID,0291,THE BRIDGE,09,Black,F,No,3.50,48,2,0,0,0,,,,,,,Below,Below,Below,ALG 1,C,,,,,,,ENG 1,A,INTENS READ,A,,,,,ENV SCI,B,MARINE SCI 1,A,,,No,No,No,Yes,No,No
Allen,Antonio,10000073,05/16/2117,ID,1661,CARTER G WOODSON ELEM SCHOOL,05,Black,M,No,,48,2,0,0,0,Below,Below,Below,Below,Below,Below,Below,Below,Below,MATH GRADE 5,C,,,,,,,LANG ARTS GRADE 5,C,,,,,,,SCIENCE GRADE 5,B,,,,,No,Yes,No,No,No,No
Allen,Breanna,10000074,11/25/2114,ID,2441,HIGHLANDS MIDDLE SCHOOL,07,White,F,No,,48,7,0,0,0,Below,Below,Below,,,,Below,Below,App Read,MJ GRADE 7 MATH,D,,,,,,,MJ INTENS READ (MC),A,MJ LANG ARTS 2,C,,,,,MJ COMPRE SCI 2,C,,,,,Yes,No,No,No,Yes,No
Allen,De'marcus,10000075,12/18/2113,ID,2131,ARLINGTON MIDDLE SCHOOL,07,Black,M,No,,48,2,2,0,1,Below,Below,Below,,,,Below,App Read,App Read,MJ GRADE 7 MATH,B,,,,,,,MJ INTENS READ (MC),B,MJ LANG ARTS 2,C,,,,,MJ COMPRE SCI 2,B,,,,,No,No,No,No,Yes,No
Allen,Emili,10000076,05/14/2111,ID,2481,EDWARD H WHITE HIGH SCHOOL,12,Black,F,No,2.80,48,2,1,0,0,,,,,,,,,,CALCULUS HON,F,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,Yes
Allen,Evan,10000077,05/22/2118,ID,1161,SADIE T TILLIS ELEMENTARY  SCHOOL,04,White,F,No,,48,6,0,0,0,Below,Early,Mid,Below,Below,,App Read,App Read,App Read,MATH GRADE 4,B,,,,,,,LANG ARTS GRADE 4,B,,,,,,,SCIENCE GRADE 4,A,,,,,No,Yes,No,No,No,No
